start_date,start_time,episode,gameTitle
08/02/2014,18:00:00:00,501,Adv. Math & Science Academy vs. Mystic Valley
09/02/2014,10:00:00:00,501,Adv. Math & Science Academy vs. Mystic Valley
09/02/2014,17:00:00:00,501,Adv. Math & Science Academy vs. Mystic Valley
11/02/2014,16:30:00:00,501,Adv. Math & Science Academy vs. Mystic Valley
06/04/2014,12:00:00:00,501,Adv. Math & Science Academy vs. Mystic Valley
08/02/2014,23:00:00:00,501,Adv. Math & Science Academy vs. Mystic Valley
14/02/2014,07:30:00:00,501,Adv. Math & Science Academy vs. Mystic Valley
11/02/2014,16:30:00:00,501,Adv. Math & Science Academy vs. Mystic Valley
15/02/2014,18:00:00:00,502,Dover-Sherborn vs. Lexington
16/02/2014,10:00:00:00,502,Dover-Sherborn vs. Lexington
16/02/2014,17:00:00:00,502,Dover-Sherborn vs. Lexington
18/02/2014,16:30:00:00,502,Dover-Sherborn vs. Lexington
06/04/2014,12:30:00:00,502,Dover-Sherborn vs. Lexington
15/02/2014,23:00:00:00,502,Dover-Sherborn vs. Lexington
21/02/2014,07:30:00:00,502,Dover-Sherborn vs. Lexington
18/02/2014,16:30:00:00,502,Dover-Sherborn vs. Lexington
22/02/2014,18:00:00:00,503,Chelmsford vs. Rockport
23/02/2014,10:00:00:00,503,Chelmsford vs. Rockport
23/02/2014,17:00:00:00,503,Chelmsford vs. Rockport
24/02/2014,05:30:00:00,503,Chelmsford vs. Rockport
25/02/2014,16:30:00:00,503,Chelmsford vs. Rockport
06/04/2014,13:00:00:00,503,Chelmsford vs. Rockport
22/02/2014,23:00:00:00,503,Chelmsford vs. Rockport
28/02/2014,07:30:00:00,503,Chelmsford vs. Rockport
25/02/2014,16:30:00:00,503,Chelmsford vs. Rockport
01/03/2014,18:00:00:00,504,Newton North vs. Westford Academy
02/03/2014,10:00:00:00,504,Newton North vs. Westford Academy
02/03/2014,17:00:00:00,504,Newton North vs. Westford Academy
04/03/2014,16:30:00:00,504,Newton North vs. Westford Academy
06/04/2014,13:30:00:00,504,Newton North vs. Westford Academy
01/03/2014,23:00:00:00,504,Newton North vs. Westford Academy
07/03/2014,07:30:00:00,504,Newton North vs. Westford Academy
04/03/2014,16:30:00:00,504,Newton North vs. Westford Academy
08/03/2014,18:00:00:00,505,Nantucket vs. Somerville
09/03/2014,10:00:00:00,505,Nantucket vs. Somerville
09/03/2014,17:00:00:00,505,Nantucket vs. Somerville
11/03/2014,16:30:00:00,505,Nantucket vs. Somerville
06/04/2014,14:00:00:00,505,Nantucket vs. Somerville
08/03/2014,23:00:00:00,505,Nantucket vs. Somerville
14/03/2014,07:30:00:00,505,Nantucket vs. Somerville
11/03/2014,16:30:00:00,505,Nantucket vs. Somerville
15/03/2014,18:00:00:00,506,Hingham vs. Sharon
16/03/2014,10:00:00:00,506,Hingham vs. Sharon
16/03/2014,17:00:00:00,506,Hingham vs. Sharon
18/03/2014,16:30:00:00,506,Hingham vs. Sharon
06/04/2014,14:30:00:00,506,Hingham vs. Sharon
15/03/2014,23:00:00:00,506,Hingham vs. Sharon
21/03/2014,07:30:00:00,506,Hingham vs. Sharon
18/03/2014,16:30:00:00,506,Hingham vs. Sharon
22/03/2014,18:00:00:00,507,Acton-Boxborough vs. Longmeadow
23/03/2014,10:00:00:00,507,Acton-Boxborough vs. Longmeadow
23/03/2014,17:00:00:00,507,Acton-Boxborough vs. Longmeadow
25/03/2014,16:30:00:00,507,Acton-Boxborough vs. Longmeadow
06/04/2014,15:00:00:00,507,Acton-Boxborough vs. Longmeadow
22/03/2014,23:00:00:00,507,Acton-Boxborough vs. Longmeadow
28/03/2014,07:30:00:00,507,Acton-Boxborough vs. Longmeadow
25/03/2014,16:30:00:00,507,Acton-Boxborough vs. Longmeadow
29/03/2014,18:00:00:00,508,Arlington vs. Dartmouth
30/03/2014,10:00:00:00,508,Arlington vs. Dartmouth
30/03/2014,17:00:00:00,508,Arlington vs. Dartmouth
01/04/2014,16:30:00:00,508,Arlington vs. Dartmouth
06/04/2014,15:30:00:00,508,Arlington vs. Dartmouth
29/03/2014,23:00:00:00,508,Arlington vs. Dartmouth
04/04/2014,07:30:00:00,508,Arlington vs. Dartmouth
01/04/2014,16:30:00:00,508,Arlington vs. Dartmouth
